Date,Open,High,Low,Close,Body,Upper Wick,Lower Wick,,Gap,Inside Bar,% Change,,Volume,OBV,Vol SMA(20),,True Range,ATR(14),Hist Vol,BB Upper,BB Middle,BB Lower,,Avg Price,Avg Delta,ROC(5),,SMA(20),SMA(50),SMA(200),EMA(9),EMA(12),EMA(20),EMA(26),EMA(50),EMA(200),,MACD,Signal,MACD Hist,,R3,R2,R1,S1,S2,S3,,Kelt Upper,Kelt Mid,Kelt Lower,,Avg Up,Avg Down,RSI(9),StochRSI %K,StochRSI %D,,Avg Up 14,Avg Down 14,RSI(14),RSI Trend,,Williams %R,CCI,Momentum(10),,Plus DM,Minus DM,Plus DM14,Minus DM14,Plus DI14,Minus DI14,DX,ADX,,Tenkan,Kijun,Senkou A,Senkou B,Chikou,Senkou A+26,Senkou B+26
2025-06-18,1.1481,1.153,1.1461,1.1481,0,0.0049,0.002,,0,0,0,,204804,684465,175962,,69,97,7.91,1.1587,1.1422,1.1256,,1.1491,-21,-0.06,,1.1422,,,1.1486,1.1469,1.1423,1.1388,,,,0.0081,,,,1.1589,1.1555,1.152,1.1451,1.1417,1.1382,,1.1617,1.1423,1.1229,,24.1,20.2,54.4,1.56,25.32,,26,21.5,54.74,,,-47.34,71.16,0.0063,,0,14,210.69,146.04,217.21,150.56,18,24,,1.1502,1.1382,1.1442,,1.1481,1.1442,
2025-06-19,1.1479,1.15,1.1446,1.1497,0.0018,0.0003,0.0033,,-0.0002,0,0.14,,148137,832602,173488,,54,94,7.67,1.1588,1.1433,1.1278,,1.1481,-10,-0.76,,1.1433,,,1.1488,1.1473,1.143,1.1396,,,,0.0077,,,,1.157,1.1543,1.1516,1.1462,1.1435,1.1408,,1.1618,1.143,1.1242,,23.2,18,56.31,11.6,4.94,,25.3,20,55.85,,,-47.37,53.03,0.0053,,0,15,195.64,150.61,208.13,160.22,13,23,,1.1503,1.1382,1.1443,,1.1497,1.1443,
2025-06-20,1.1494,1.1544,1.1492,1.1522,0.0028,0.0022,0.0002,,-0.0003,0,0.22,,159061,991663,171818,,52,91,7.29,1.1597,1.144,1.1284,,1.1519,38,-0.25,,1.144,,,1.1495,1.1481,1.1439,1.1405,,,,0.0076,0.0082,-0.0006,,1.1599,1.1573,1.1547,1.1495,1.1469,1.1443,,1.1621,1.1439,1.1257,,23.4,16,59.39,30.32,14.49,,25.3,18.6,57.63,,,-40,82.33,0.0125,,44,0,225.67,139.85,247.99,153.68,23,23,,1.1503,1.1382,1.1443,,1.1522,1.1443,
2025-06-23,1.1457,1.1582,1.1454,1.1579,0.0122,0.0003,0.0003,,-0.0065,0,0.49,,235831,1227494,178038,,128,94,7.44,1.1616,1.145,1.1284,,1.1538,19,0.16,,1.145,,,1.1512,1.1496,1.1452,1.1418,,,,0.0078,0.0081,-0.0003,,1.1751,1.1687,1.1623,1.1495,1.1431,1.1367,,1.164,1.1452,1.1264,,27.1,14.2,65.62,68.17,36.7,,27.6,17.3,61.47,,,-19.27,90.64,0.0158,,0,38,209.55,167.86,222.93,178.57,11,22,,1.1519,1.1402,1.1461,,1.1579,1.1461,
2025-06-24,1.1579,1.1642,1.1575,1.1608,0.0029,0.0034,0.0004,,0,0,0.25,,208116,1435610,180438,,67,92,7.09,1.1633,1.1464,1.1295,,1.1608,70,1.11,,1.1464,,,1.1531,1.1513,1.1467,1.1432,,,,0.0081,0.0081,0,,1.1709,1.1675,1.1642,1.1575,1.1542,1.1508,,1.1651,1.1467,1.1283,,27.3,12.6,68.42,85.18,61.22,,27.7,16.1,63.24,,,-12.59,140.2,0.0182,,60,0,254.58,155.87,276.72,169.42,24,22,,1.1544,1.1427,1.1486,,1.1608,1.1486,
2025-06-25,1.1611,1.1665,1.159,1.166,0.0049,0.0005,0.0021,,0.0003,0,0.45,,149464,1585074,179600,,75,91,6.98,1.1653,1.1482,1.1312,,1.1638,30,1.56,,1.1482,,,1.1557,1.1536,1.1485,1.1449,,,,0.0087,0.0082,0.0005,,1.1762,1.1725,1.1687,1.1612,1.1574,1.1537,,1.1667,1.1485,1.1303,,30,11.2,72.82,100,84.45,,29.4,15,66.22,,,-1.71,151.04,0.0172,,23,0,259.4,144.74,285.05,159.05,28,22,,1.1556,1.1438,1.1497,,1.166,1.1497,
2025-06-26,1.1658,1.1745,1.1654,1.1702,0.0044,0.0043,0.0004,,-0.0002,0,0.36,,197809,1782883,178657,,91,91,6.77,1.1686,1.1499,1.1312,,1.17,62,1.78,,1.1499,,,1.1586,1.1562,1.1506,1.1468,,,,0.0094,0.0084,0.001,,1.1838,1.1793,1.1747,1.1656,1.1611,1.1565,,1.1688,1.1506,1.1324,,31.3,10,75.79,100,95.06,,30.3,13.9,68.55,,,-11.56,182.46,0.0117,,80,0,320.87,134.4,352.6,147.69,41,23,,1.1596,1.1478,1.1537,,1.1702,1.1537,
2025-06-27,1.17,1.1754,1.1681,1.1719,0.0019,0.0035,0.0019,,-0.0002,0,0.15,,177525,1960408,177584,,73,90,6.67,1.1714,1.1518,1.1321,,1.1718,18,1.71,,1.1518,,,1.1613,1.1586,1.1526,1.1487,,,,0.0099,0.0087,0.0012,,1.1828,1.1792,1.1755,1.1682,1.1646,1.1609,,1.1706,1.1526,1.1346,,29.7,8.9,76.94,100,100,,29.4,12.9,69.5,,,-9.19,172.59,0.0168,,9,0,306.95,124.8,341.06,138.67,42,24,,1.16,1.1483,1.1542,,1.1719,1.1542,
2025-06-30,1.1731,1.1789,1.1708,1.1788,0.0057,0.0001,0.0023,,0.0012,0,0.59,,166462,2126870,177241,,81,89,6.38,1.1761,1.1535,1.1309,,1.1762,44,1.8,,1.1535,,,1.1648,1.1617,1.1551,1.1509,,,,0.0108,0.0091,0.0017,,1.1896,1.1856,1.1815,1.1734,1.1694,1.1653,,1.1729,1.1551,1.1373,,34.1,7.9,81.19,100,100,,32.2,12,72.85,↑,,-0.26,175.68,0.0227,,35,0,320.02,115.89,359.57,130.21,47,26,,1.1618,1.15,1.1559,,1.1788,1.1559,
2025-07-01,1.1785,1.183,1.1761,1.1806,0.0021,0.0024,0.0024,,-0.0003,0,0.15,,175153,2302023,178292,,69,88,5.65,1.1798,1.1557,1.1315,,1.1799,37,1.71,,1.1557,,,1.168,1.1646,1.1575,1.1531,,,,0.0115,0.0096,0.0019,,1.1906,1.1872,1.1837,1.1768,1.1734,1.1699,,1.1751,1.1575,1.1399,,32.3,7,82.19,100,100,,31.2,11.1,73.76,↑,,-6.25,173.08,0.0325,,41,0,338.16,107.61,384.27,122.28,52,28,,1.1638,1.1521,1.158,,1.1806,1.158,
